station_name,city,country,latitude,longitude,station_id,source
"Ardhali Bazar, Varanasi - UPPCB",,IN,25.3505986,82.9083074,5590,OpenAQ
"Gangapur Road, Nashik - MPCB",,IN,20.0073285,73.7762427,5592,OpenAQ
"Pimpleshwar Mandir, Thane - MPCB",,IN,19.192056,72.9585188,5593,OpenAQ
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",,IN,26.1209,85.3647,5594,OpenAQ
"Secretariat, Amaravati - APPCB",,IN,16.5150833,80.5181667,5596,OpenAQ
"Sector - 125, Noida, UP - UPPCB",,IN,28.5447608,77.3231257,5598,OpenAQ
"Bollaram Industrial Area, Hyderabad - TSPCB",,IN,17.540891,78.358528,5599,OpenAQ
"Lajpat Nagar, Moradabad - UPPCB",,IN,28.825341,78.7213009,5601,OpenAQ
"Asansol Court Area, Asansol - WBPCB",,IN,23.685297,86.945968,5602,OpenAQ
"Sector-2 Industrial Area, Pithampur - MPPCB",,IN,22.624758,75.675238,5603,OpenAQ
"Nishant Ganj, Lucknow - UPPCB",,IN,26.871428,80.957145,5604,OpenAQ
"Peenya, Bengaluru - CPCB",,IN,13.0270199,77.494094,5607,OpenAQ
"GM Office, Brajrajnagar - OSPCB",,IN,21.8004996,83.8396977,5608,OpenAQ
"Anam Kala Kendram, Rajamahendravaram - APPCB",,IN,16.9872867,81.7363176,5609,OpenAQ
"North Campus, DU, Delhi - IMD",,IN,28.6573814,77.1585447,5610,OpenAQ
"Chandrapur, Chandrapur - MPCB",,IN,19.645324,77.6345232,5611,OpenAQ
"Shastri Nagar, Jaipur - RSPCB",,IN,26.9502929,75.730943,5612,OpenAQ
"ITO, New Delhi - CPCB",,IN,28.628624,77.24106,5613,OpenAQ
"Padmapukur, Howrah - WBPCB",,IN,22.5687319,88.2797276,5614,OpenAQ
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,IN,23.5404352,87.2892225,5615,OpenAQ
"Sector - 62, Noida, UP - IMD",,IN,28.6245479,77.3577104,5616,OpenAQ
"Sector- 16A, Faridabad - HSPCB",,IN,28.4088421,77.3099081,5617,OpenAQ
"Vindhyachal STPS, Singrauli - MPPCB",,IN,24.10897,82.64558,5619,OpenAQ
"Opp GPO Civil Lines, Nagpur - MPCB",,IN,21.152875,79.0517531,5621,OpenAQ
"NSIT Dwarka, Delhi - CPCB",,IN,28.60909,77.0325413,5622,OpenAQ
"Central University, Hyderabad - TSPCB",,IN,17.460103,78.334361,5623,OpenAQ
